100 0
600 0
1100 0
1600 0
2100 0.015625
2600 0.03125
3100 0.046875
3600 0.046875
4100 0.09375
4600 0.09375
5100 0.125
5600 0.15625
6100 0.171875
6600 0.203125
7100 0.234375
7600 0.265625
8100 0.296875
8600 0.359375
9100 0.390625
9600 0.421875
10100 0.46875
10600 0.53125
11100 0.5625
11600 0.609375
12100 0.6875
12600 0.71875
13100 0.796875
13600 0.875
14100 0.90625
14600 0.984375
15100 1.0625
15600 1.125
16100 1.21875
16600 1.29688
17100 1.35938
17600 1.46875
18100 1.51562
18600 1.64062
19100 1.71875
19600 1.84375
20100 1.875
20600 1.9375
21100 2.0625
21600 2.17188
22100 2.25
22600 2.34375
23100 2.5
23600 2.5625
24100 2.6875
24600 2.79688
25100 2.9375
25600 3.04688
26100 3.14062
26600 3.29688
27100 3.45312
27600 3.71875
28100 4.04688
28600 3.8125
29100 3.95312
29600 4.03125
