100 0
600 0
1100 0
1600 0
2100 0.015625
2600 0.015625
3100 0.03125
3600 0.03125
4100 0.0625
4600 0.046875
5100 0.0625
5600 0.09375
6100 0.09375
6600 0.109375
7100 0.125
7600 0.15625
8100 0.15625
8600 0.203125
9100 0.21875
9600 0.28125
10100 0.265625
10600 0.3125
11100 0.328125
11600 0.359375
12100 0.375
12600 0.4375
13100 0.4375
13600 0.5
14100 0.53125
14600 0.5625
15100 0.609375
15600 0.65625
16100 0.703125
16600 0.75
17100 0.78125
17600 0.828125
18100 0.859375
18600 0.921875
19100 0.96875
19600 1.03125
20100 1.0625
20600 1.125
21100 1.1875
21600 1.23438
22100 1.29688
22600 1.375
23100 1.42188
23600 1.48438
24100 1.5625
24600 1.60938
25100 1.67188
25600 1.75
26100 1.82812
26600 1.84375
27100 1.95312
27600 2.01562
28100 2.10938
28600 2.25
29100 2.39062
29600 2.35938
