100 0
600 0
1100 0
1600 0.015625
2100 0.015625
2600 0.03125
3100 0.03125
3600 0.046875
4100 0.09375
4600 0.09375
5100 0.140625
5600 0.171875
6100 0.1875
6600 0.234375
7100 0.265625
7600 0.328125
8100 0.359375
8600 0.40625
9100 0.46875
9600 0.53125
10100 0.6875
10600 0.78125
11100 0.71875
11600 0.796875
12100 0.875
12600 0.921875
13100 1.04688
13600 1.10938
14100 1.20312
14600 1.29688
15100 1.375
15600 1.48438
16100 1.89062
16600 1.71875
17100 1.78125
17600 1.875
18100 2.04688
18600 2.15625
19100 2.29688
19600 2.4375
20100 2.54688
20600 2.625
21100 2.76562
21600 2.92188
22100 3.15625
22600 3.25
23100 3.45312
23600 3.5625
24100 3.6875
24600 3.84375
25100 4.21875
25600 4.45312
26100 4.53125
26600 4.64062
27100 4.8125
27600 5.0625
28100 5.1875
28600 5.375
29100 5.70312
29600 5.78125
